target_key,target_label,model,n_features,n_train,n_test,eval_mode,hyperparam_search,select_best_by,best_params,n_iter_search,train_R2,train_MaxAE,train_MAE,train_RMSE,cv_R2,cv_MaxAE,cv_MAE,cv_RMSE,test_R2,test_MaxAE,test_MAE,test_RMSE
solution,$E_{\mathrm{s}}$,SVR,28,9,10,opt_only_holdout,random,cv,"{'model__kernel': 'poly', 'model__gamma': 0.003981071705534973, 'model__epsilon': 0.01584893192461114, 'model__degree': 2, 'model__coef0': 0.5, 'model__C': 0.4641588833612777}",40,0.24357072817791514,0.3275938033460851,0.0699701868496825,0.12053645912396913,0.10759218093784573,0.19074521379474607,0.10020528769504781,0.1204295373338186,-0.14514983294626682,0.24516626284167126,0.10804371431635804,0.13364994243605974
solution,$E_{\mathrm{s}}$,RandomForest,28,9,10,opt_only_holdout,random,cv,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 2}",36,0.6050895498191335,0.22027901050264553,0.059108324885361524,0.0870930659488927,-0.15888557129205183,0.21438662314814816,0.09835812530864195,0.13030432263966316,0.11331694015701799,0.20904929740740733,0.10071271270634916,0.11760392722427718
solution,$E_{\mathrm{s}}$,GradientBoosting,28,9,10,opt_only_holdout,random,cv,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 1, 'model__learning_rate': 0.01}",40,0.7201336600597155,0.18453536527635078,0.05338082454226912,0.07331782961421303,-0.06025987025379868,0.20566720027603305,0.09583192332735972,0.12718834321736275,0.12733161950154448,0.1968269218413529,0.09928713085051441,0.11667081703652397
solution,$E_{\mathrm{s}}$,XGBoost,28,9,10,opt_only_holdout,random,cv,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 200, 'model__min_child_weight': 2, 'model__max_depth': 1, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.5}",40,0.915782663343706,0.10558083338260651,0.025849239652421738,0.04021934723503804,-0.24920235571937957,0.1863581503017743,0.09530139454596571,0.12502968975931136,0.22131733883272797,0.18405057761453092,0.08727236552926151,0.11020920541112178
solution,$E_{\mathrm{s}}$,CatBoost,28,9,10,opt_only_holdout,random,cv,"{'model__subsample': 1.0, 'model__min_data_in_leaf': 2, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 10.0, 'model__iterations': 50, 'model__depth': 2}",40,0.6332095310218678,0.20803417327954976,0.06182742572255215,0.08393503719873442,-0.17893870222459132,0.21195716892175387,0.1038591517710236,0.13104248935852184,0.15225511946645398,0.20835577274084793,0.09775998715732256,0.11499268296879836
solution_minus_binding,$E_{\mathrm{eff}}$,Ridge,30,9,10,opt_only_holdout,random,cv,{'model__alpha': 100.0},16,0.24772299206063264,0.25378433785880505,0.07164059273884174,0.09956397326573657,-0.5540209683085547,0.17971580748110197,0.08485384648982419,0.11097305442730772,-0.18094238742599678,0.23220187529905073,0.07950151274477923,0.10825026806910197
solution_minus_binding,$E_{\mathrm{eff}}$,Lasso,30,9,10,opt_only_holdout,random,cv,{'model__alpha': 0.09999999999999999},16,0.0,0.28682888888888886,0.08385925925925924,0.114792450046396,-0.3569528109295132,0.1636733333333333,0.08421111111111108,0.10629650268851805,-0.1900588884628398,0.2484888888888889,0.07880155555555554,0.10866729367462825
solution_minus_binding,$E_{\mathrm{eff}}$,ElasticNet,30,9,10,opt_only_holdout,random,cv,"{'model__l1_ratio': 0.55, 'model__alpha': 2.154434690031882}",40,0.0,0.28682888888888886,0.08385925925925924,0.114792450046396,-0.3569528109295132,0.1636733333333333,0.08421111111111108,0.10629650268851805,-0.1900588884628398,0.2484888888888889,0.07880155555555554,0.10866729367462825
solution_minus_binding,$E_{\mathrm{eff}}$,SVR,30,9,10,opt_only_holdout,random,cv,"{'model__kernel': 'poly', 'model__gamma': 0.003981071705534973, 'model__epsilon': 0.001, 'model__degree': 2, 'model__coef0': 1.0, 'model__C': 0.09999999999999999}",40,0.1272006882255543,0.3009273622534908,0.06065778996251134,0.10724338730544443,-0.049172556036870096,0.1516313546501486,0.07858085393133754,0.09905044745060297,-0.555398452247128,0.27252332463608314,0.09242345039599983,0.12423256619151272
solution_minus_binding,$E_{\mathrm{eff}}$,RandomForest,30,9,10,opt_only_holdout,random,cv,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 2}",36,0.520604405394667,0.20843891190476188,0.052467886230158724,0.07948045499923434,-0.45775077839294814,0.1685042708333333,0.08471007824074074,0.10751178991518606,-0.09757529980898316,0.23311787047619048,0.07852233452380952,0.10435945142090922
solution_minus_binding,$E_{\mathrm{eff}}$,GradientBoosting,30,9,10,opt_only_holdout,random,cv,"{'model__subsample': 0.6, 'model__n_estimators': 200, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 1, 'model__learning_rate': 0.05}",40,0.9540760478555987,0.061290157013860314,0.01665715283117854,0.024599877990013282,-0.2691850444493707,0.15882310755306325,0.0829101917180455,0.10400040970961322,-0.2286080552388574,0.22788773393711695,0.09231527036041487,0.11041327815727475
solution_minus_binding,$E_{\mathrm{eff}}$,XGBoost,30,9,10,opt_only_holdout,random,cv,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 2, 'model__max_depth': 2, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.5}",40,-2.220446049250313e-16,0.2868288885936886,0.08385925935765934,0.114792450046396,-0.35695281475498875,0.16367333335434398,0.08421111111811465,0.10629650272587747,-0.1900588858789367,0.24848888859368862,0.07880155543747544,0.10866729355665687
solution_minus_binding,$E_{\mathrm{eff}}$,CatBoost,30,9,10,opt_only_holdout,random,cv,"{'model__subsample': 1.0, 'model__min_data_in_leaf': 2, 'model__learning_rate': 0.01, 'model__l2_leaf_reg': 10.0, 'model__iterations': 50, 'model__depth': 3}",40,0.09288559789964146,0.2740525204820036,0.07953032309656018,0.10933126079284536,-0.3692578046424708,0.1638362207610205,0.08439494417096009,0.10654467722299708,-0.17009062427601473,0.24532311785660108,0.07852968122367499,0.10775176053484292
