element,endmember_formula,endmember_material_id_raw,endmember_material_id,endmember_fraction,endmember_mp_material_id,endmember_formula_pretty,endmember_energy_per_atom,endmember_energy_above_hull,endmember_theoretical,endmember_is_stable,endmember_crystal_system,endmember_spacegroup_symbol,endmember_spacegroup_number,endmember_density,endmember_volume,endmember_nsites,endmember_selection_rule,endmember_e_hull_max_eV_per_atom,endmember_is_theoretical_fallback,endmember_n_candidates,endmember_n_experimental,endmember_n_near_hull,endmember_material_id_forced,endmember_error
Sc,Sc,mp-67-r2SCAN,mp-67,0.0078125,mp-67,Sc,-11.398487355,0.0,False,True,Hexagonal,P6_3/mmc,194,2.9845810423710106,50.02447391787033,2,endmember_reference,0.1,False,1,1,1,True,
Se,Li2Se,mp-2286-r2SCAN,mp-2286,0.0234375,mp-2286,Li2Se,-7.813334673333333,0.0,False,True,Cubic,Fm-3m,225,2.924458281489375,52.71669259653644,3,endmember_reference,0.1,False,1,1,1,True,
Si,Si,mp-149-r2SCAN,mp-149,0.0078125,mp-149,Si,-8.773764595,0.0,False,True,Cubic,Fd-3m,227,2.3128002565764314,40.32952684741405,2,endmember_reference,0.1,False,1,1,1,True,
Sm,Sm,mp-69-r2SCAN,mp-69,0.0078125,mp-69,Sm,-29.73292432,0.0,False,True,Hexagonal,P6_3/mmc,194,7.3865179596065,135.20776948932632,4,endmember_reference,0.1,False,1,1,1,True,
Sn,Li17Sn4,mp-573471-r2SCAN,mp-573471,0.0078125,mp-573471,Li17Sn4,-2.6598600334285716,0.0,False,True,Cubic,F-43m,216,2.5895488526977197,1900.773177103369,105,endmember_reference,0.1,False,1,1,1,True,
Ta,Ta,mp-569794-r2SCAN,mp-569794,0.0078125,mp-569794,Ta,-48.591832712666665,0.0,False,True,Tetragonal,P4_2/mnm,136,16.260109686060726,554.3708437019316,30,endmember_reference,0.1,False,1,1,1,True,
Ti,Ti,mp-72-r2SCAN,mp-72,0.0078125,mp-72,Ti,-12.937757013333332,0.0,False,True,Hexagonal,P6/mmm,191,4.670172253933062,51.05915967771039,3,endmember_reference,0.1,False,1,1,1,True,
Tl,Li3Tl,mp-7396-r2SCAN,mp-7396,0.03125,mp-7396,Li3Tl,-15.35628307,0.0,False,True,Cubic,Fm-3m,225,5.165667306999388,72.39410467069834,4,endmember_reference,0.1,False,1,1,1,True,
V,V,mp-146-r2SCAN,mp-146,0.0078125,mp-146,V,-14.08957573,0.0,False,True,Cubic,Im-3m,229,6.37754471203338,13.263780153478194,1,endmember_reference,0.1,False,1,1,1,True,
W,W,mp-91-r2SCAN,mp-91,0.0078125,mp-91,W,-51.36779438,0.0,False,True,Cubic,Im-3m,229,19.160711346464403,15.932263521447117,1,endmember_reference,0.1,False,1,1,1,True,
Y,Y,mp-112-r2SCAN,mp-112,0.0078125,mp-112,Y,-20.31360096,0.0,False,True,Hexagonal,P6_3/mmc,194,4.370668912132135,67.55562608311241,2,endmember_reference,0.1,False,1,1,1,True,
Zn,LiZn,mp-1934-r2SCAN,mp-1934,0.0078125,mp-1934,LiZn,-5.8687600975,0.0,False,True,Cubic,Fd-3m,227,4.3109824680118045,55.736715483220095,4,endmember_reference,0.1,False,1,1,1,True,
Zr,Zr,mp-131-r2SCAN,mp-131,0.0078125,mp-131,Zr,-22.749791905,0.0,False,True,Hexagonal,P6_3/mmc,194,6.446094098816202,46.99931887465835,2,endmember_reference,0.1,False,1,1,1,True,
