element,endmember_material_id,role,endmember_MagpieData minimum Number,endmember_MagpieData maximum Number,endmember_MagpieData range Number,endmember_MagpieData mean Number,endmember_MagpieData avg_dev Number,endmember_MagpieData mode Number,endmember_MagpieData minimum MendeleevNumber,endmember_MagpieData maximum MendeleevNumber,endmember_MagpieData range MendeleevNumber,endmember_MagpieData mean MendeleevNumber,endmember_MagpieData avg_dev MendeleevNumber,endmember_MagpieData mode MendeleevNumber,endmember_MagpieData minimum AtomicWeight,endmember_MagpieData maximum AtomicWeight,endmember_MagpieData range AtomicWeight,endmember_MagpieData mean AtomicWeight,endmember_MagpieData avg_dev AtomicWeight,endmember_MagpieData mode AtomicWeight,endmember_MagpieData minimum MeltingT,endmember_MagpieData maximum MeltingT,endmember_MagpieData range MeltingT,endmember_MagpieData mean MeltingT,endmember_MagpieData avg_dev MeltingT,endmember_MagpieData mode MeltingT,endmember_MagpieData minimum Column,endmember_MagpieData maximum Column,endmember_MagpieData range Column,endmember_MagpieData mean Column,endmember_MagpieData avg_dev Column,endmember_MagpieData mode Column,endmember_MagpieData minimum Row,endmember_MagpieData maximum Row,endmember_MagpieData range Row,endmember_MagpieData mean Row,endmember_MagpieData avg_dev Row,endmember_MagpieData mode Row,endmember_MagpieData minimum CovalentRadius,endmember_MagpieData maximum CovalentRadius,endmember_MagpieData range CovalentRadius,endmember_MagpieData mean CovalentRadius,endmember_MagpieData avg_dev CovalentRadius,endmember_MagpieData mode CovalentRadius,endmember_MagpieData minimum Electronegativity,endmember_MagpieData maximum Electronegativity,endmember_MagpieData range Electronegativity,endmember_MagpieData mean Electronegativity,endmember_MagpieData avg_dev Electronegativity,endmember_MagpieData mode Electronegativity,endmember_MagpieData minimum NsValence,endmember_MagpieData maximum NsValence,endmember_MagpieData range NsValence,endmember_MagpieData mean NsValence,endmember_MagpieData avg_dev NsValence,endmember_MagpieData mode NsValence,endmember_MagpieData minimum NpValence,endmember_MagpieData maximum NpValence,endmember_MagpieData range NpValence,endmember_MagpieData mean NpValence,endmember_MagpieData avg_dev NpValence,endmember_MagpieData mode NpValence,endmember_MagpieData minimum NdValence,endmember_MagpieData maximum NdValence,endmember_MagpieData range NdValence,endmember_MagpieData mean NdValence,endmember_MagpieData avg_dev NdValence,endmember_MagpieData mode NdValence,endmember_MagpieData minimum NfValence,endmember_MagpieData maximum NfValence,endmember_MagpieData range NfValence,endmember_MagpieData mean NfValence,endmember_MagpieData avg_dev NfValence,endmember_MagpieData mode NfValence,endmember_MagpieData minimum NValence,endmember_MagpieData maximum NValence,endmember_MagpieData range NValence,endmember_MagpieData mean NValence,endmember_MagpieData avg_dev NValence,endmember_MagpieData mode NValence,endmember_MagpieData minimum NsUnfilled,endmember_MagpieData maximum NsUnfilled,endmember_MagpieData range NsUnfilled,endmember_MagpieData mean NsUnfilled,endmember_MagpieData avg_dev NsUnfilled,endmember_MagpieData mode NsUnfilled,endmember_MagpieData minimum NpUnfilled,endmember_MagpieData maximum NpUnfilled,endmember_MagpieData range NpUnfilled,endmember_MagpieData mean NpUnfilled,endmember_MagpieData avg_dev NpUnfilled,endmember_MagpieData mode NpUnfilled,endmember_MagpieData minimum NdUnfilled,endmember_MagpieData maximum NdUnfilled,endmember_MagpieData range NdUnfilled,endmember_MagpieData mean NdUnfilled,endmember_MagpieData avg_dev NdUnfilled,endmember_MagpieData mode NdUnfilled,endmember_MagpieData minimum NfUnfilled,endmember_MagpieData maximum NfUnfilled,endmember_MagpieData range NfUnfilled,endmember_MagpieData mean NfUnfilled,endmember_MagpieData avg_dev NfUnfilled,endmember_MagpieData mode NfUnfilled,endmember_MagpieData minimum NUnfilled,endmember_MagpieData maximum NUnfilled,endmember_MagpieData range NUnfilled,endmember_MagpieData mean NUnfilled,endmember_MagpieData avg_dev NUnfilled,endmember_MagpieData mode NUnfilled,endmember_MagpieData minimum GSvolume_pa,endmember_MagpieData maximum GSvolume_pa,endmember_MagpieData range GSvolume_pa,endmember_MagpieData mean GSvolume_pa,endmember_MagpieData avg_dev GSvolume_pa,endmember_MagpieData mode GSvolume_pa,endmember_MagpieData minimum GSbandgap,endmember_MagpieData maximum GSbandgap,endmember_MagpieData range GSbandgap,endmember_MagpieData mean GSbandgap,endmember_MagpieData avg_dev GSbandgap,endmember_MagpieData mode GSbandgap,endmember_MagpieData minimum GSmagmom,endmember_MagpieData maximum GSmagmom,endmember_MagpieData range GSmagmom,endmember_MagpieData mean GSmagmom,endmember_MagpieData avg_dev GSmagmom,endmember_MagpieData mode GSmagmom,endmember_MagpieData minimum SpaceGroupNumber,endmember_MagpieData maximum SpaceGroupNumber,endmember_MagpieData range SpaceGroupNumber,endmember_MagpieData mean SpaceGroupNumber,endmember_MagpieData avg_dev SpaceGroupNumber,endmember_MagpieData mode SpaceGroupNumber,endmember_density,endmember_vpa,endmember_packing fraction,endmember_spacegroup_num,endmember_crystal_system,endmember_crystal_system_int,endmember_is_centrosymmetric,endmember_n_symmetry_ops
Os,mp-49,endmember,76.0,76.0,0.0,76.0,0.0,76.0,57.0,57.0,0.0,57.0,0.0,57.0,190.23,190.23,0.0,190.23,0.0,190.23,3306.0,3306.0,0.0,3306.0,0.0,3306.0,8.0,8.0,0.0,8.0,0.0,8.0,6.0,6.0,0.0,6.0,0.0,6.0,144.0,144.0,0.0,144.0,0.0,144.0,2.2,2.2,0.0,2.2,0.0,2.2,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,14.0,14.0,0.0,14.0,0.0,14.0,22.0,22.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,14.09,14.09,0.0,14.09,0.0,14.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,22.35969400314296,14.127400269263509,0.6514129920943665,194,hexagonal,2,True,24
Pb,mp-574275,endmember,3.0,82.0,79.0,18.047619047619047,24.36281179138322,3.0,1.0,81.0,80.0,16.238095238095237,24.671201814058957,1.0,6.941,207.2,200.259,45.08557142857143,61.75787755102041,6.941,453.69,600.61,146.92000000000002,481.67476190476197,45.30866213151931,453.69,1.0,14.0,13.0,3.4761904761904763,4.00907029478458,1.0,2.0,6.0,4.0,2.761904761904762,1.2335600907029478,2.0,128.0,146.0,18.0,131.42857142857142,5.551020408163258,128.0,0.98,2.33,1.35,1.237142857142857,0.4163265306122449,0.98,1.0,2.0,1.0,1.1904761904761905,0.30839002267573695,1.0,0.0,2.0,2.0,0.38095238095238093,0.6167800453514739,0.0,0.0,10.0,10.0,1.9047619047619047,3.0839002267573696,0.0,0.0,14.0,14.0,2.6666666666666665,4.317460317460318,0.0,1.0,28.0,27.0,6.142857142857143,8.326530612244898,1.0,0.0,1.0,1.0,0.8095238095238095,0.30839002267573695,1.0,0.0,4.0,4.0,0.7619047619047619,1.2335600907029478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.5714285714285714,0.9251700680272108,1.0,16.5933333333,28.11,11.5166666667,18.78698412695714,3.5516250944925165,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,228.23809523809524,1.2335600907029463,229.0,3.9612503913609043,18.899676971948615,0.7931779733883394,216,cubic,1,False,48
Pd,mp-1197547,endmember,3.0,46.0,43.0,12.052631578947368,14.293628808864264,3.0,1.0,62.0,61.0,13.842105263157896,20.27700831024931,1.0,6.941,106.42,99.479,27.88394736842105,33.06781163434903,6.941,453.69,1828.05,1374.36,743.028947368421,456.85096952908583,453.69,1.0,10.0,9.0,2.8947368421052633,2.9916897506925206,1.0,2.0,5.0,3.0,2.6315789473684212,0.9972299168975071,2.0,128.0,139.0,11.0,130.31578947368422,3.656509695290864,128.0,0.98,2.2,1.2200000000000002,1.236842105263158,0.40554016620498623,0.98,0.0,1.0,1.0,0.7894736842105263,0.33240997229916897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.1052631578947367,3.32409972299169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,2.8947368421052633,2.9916897506925206,1.0,0.0,1.0,1.0,0.7894736842105263,0.33240997229916897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7894736842105263,0.33240997229916897,1.0,14.41,16.5933333333,2.1833333332999985,16.133684210499997,0.7257617728421061,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,228.1578947368421,1.3296398891966732,229.0,2.989455744777025,15.488566466276867,0.8071384033876813,220,cubic,1,False,24
Pr,mp-97,endmember,59.0,59.0,0.0,59.0,0.0,59.0,17.0,17.0,0.0,17.0,0.0,17.0,140.90765,140.90765,0.0,140.90765,0.0,140.90765,1204.0,1204.0,0.0,1204.0,0.0,1204.0,3.0,3.0,0.0,3.0,0.0,3.0,6.0,6.0,0.0,6.0,0.0,6.0,203.0,203.0,0.0,203.0,0.0,203.0,1.13,1.13,0.0,1.13,0.0,1.13,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0,11.0,11.0,0.0,11.0,0.0,11.0,35.675,35.675,0.0,35.675,0.0,35.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,6.276136276343673,37.281322079739454,0.7113977536433438,152,trigonal,3,False,6
Pt,mp-2170,endmember,3.0,78.0,75.0,28.0,33.333333333333336,3.0,1.0,63.0,62.0,21.666666666666668,27.555555555555554,1.0,6.941,195.084,188.143,69.65533333333333,83.61911111111111,6.941,453.69,2041.4,1587.71,982.9266666666667,705.6488888888889,453.69,1.0,10.0,9.0,4.0,4.0,1.0,2.0,6.0,4.0,3.3333333333333335,1.777777777777778,2.0,128.0,136.0,8.0,130.66666666666666,3.5555555555555522,128.0,0.98,2.28,1.2999999999999998,1.4133333333333333,0.5777777777777777,0.98,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,4.0,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,1.0,24.0,23.0,8.666666666666666,10.222222222222221,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,15.02,16.5933333333,1.573333333299999,16.068888888866667,0.6992592592444437,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,227.66666666666666,1.777777777777781,229.0,8.710751859323272,13.27846369941612,0.8998555000458213,191,hexagonal,2,True,24
Re,mp-8,endmember,75.0,75.0,0.0,75.0,0.0,75.0,54.0,54.0,0.0,54.0,0.0,54.0,186.207,186.207,0.0,186.207,0.0,186.207,3459.0,3459.0,0.0,3459.0,0.0,3459.0,7.0,7.0,0.0,7.0,0.0,7.0,6.0,6.0,0.0,6.0,0.0,6.0,151.0,151.0,0.0,151.0,0.0,151.0,1.9,1.9,0.0,1.9,0.0,1.9,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,14.0,14.0,0.0,14.0,0.0,14.0,21.0,21.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,14.655,14.655,0.0,14.655,0.0,14.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,20.873419048538693,14.813289460982347,0.6957262751968039,194,hexagonal,2,True,24
Rh,mp-600561,endmember,3.0,45.0,42.0,24.0,21.0,3.0,1.0,59.0,58.0,30.0,29.0,1.0,6.941,102.9055,95.9645,54.92325,47.98225,6.941,453.69,2237.0,1783.31,1345.345,891.655,453.69,1.0,9.0,8.0,5.0,4.0,1.0,2.0,5.0,3.0,3.5,1.5,2.0,128.0,142.0,14.0,135.0,7.0,128.0,0.98,2.28,1.2999999999999998,1.63,0.6499999999999999,0.98,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,13.64,16.5933333333,2.953333333299998,15.11666666665,1.476666666649999,13.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,227.0,2.0,225.0,6.9200978525877295,13.17932265697021,0.87546400671676,187,hexagonal,2,False,12
Ru,mp-33,endmember,44.0,44.0,0.0,44.0,0.0,44.0,56.0,56.0,0.0,56.0,0.0,56.0,101.07,101.07,0.0,101.07,0.0,101.07,2607.0,2607.0,0.0,2607.0,0.0,2607.0,8.0,8.0,0.0,8.0,0.0,8.0,5.0,5.0,0.0,5.0,0.0,5.0,146.0,146.0,0.0,146.0,0.0,146.0,2.2,2.2,0.0,2.2,0.0,2.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,13.51,13.51,0.0,13.51,0.0,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,12.384952667667424,13.551176835248535,0.6791123894109318,194,hexagonal,2,True,24
Sb,mp-7955,endmember,3.0,51.0,48.0,15.0,18.0,3.0,1.0,85.0,84.0,22.0,31.5,1.0,6.941,121.76,114.819,35.64575,43.057125,6.941,453.69,903.78,450.09,566.2125,168.78375,453.69,1.0,15.0,14.0,4.5,5.25,1.0,2.0,5.0,3.0,2.75,1.125,2.0,128.0,139.0,11.0,130.75,4.125,128.0,0.98,2.05,1.0699999999999998,1.2475,0.40125,0.98,1.0,2.0,1.0,1.25,0.375,1.0,0.0,3.0,3.0,0.75,1.125,0.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,4.5,5.25,1.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,3.0,3.0,0.75,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5,0.75,1.0,16.5933333333,31.56,14.9666666667,20.334999999975,5.612500000012501,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,213.25,23.625,229.0,3.016532153749956,19.622254131245537,0.6507942692339559,194,hexagonal,2,True,24
Sc,mp-67,endmember,21.0,21.0,0.0,21.0,0.0,21.0,11.0,11.0,0.0,11.0,0.0,11.0,44.955912,44.955912,0.0,44.955912,0.0,44.955912,1814.0,1814.0,0.0,1814.0,0.0,1814.0,3.0,3.0,0.0,3.0,0.0,3.0,4.0,4.0,0.0,4.0,0.0,4.0,170.0,170.0,0.0,170.0,0.0,170.0,1.36,1.36,0.0,1.36,0.0,1.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,9.0,22.235,22.235,0.0,22.235,0.0,22.235,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,0.0,6.35e-06,0.0,6.35e-06,194.0,194.0,0.0,194.0,0.0,194.0,2.9845810423710106,25.012236958935166,0.6859556267187822,194,hexagonal,2,True,24
Se,mp-2286,endmember,3.0,34.0,31.0,13.333333333333334,13.777777777777777,3.0,1.0,89.0,88.0,30.333333333333332,39.111111111111114,1.0,6.941,78.96,72.01899999999999,30.947333333333333,32.00844444444444,6.941,453.69,494.0,40.31,467.1266666666667,17.915555555555574,453.69,1.0,16.0,15.0,6.0,6.666666666666667,1.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,120.0,128.0,8.0,125.33333333333333,3.555555555555557,128.0,0.98,2.55,1.5699999999999998,1.5033333333333332,0.6977777777777776,0.98,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,6.0,6.666666666666667,1.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,16.5933333333,25.92,9.326666666700003,19.7022222222,4.145185185200002,16.5933333333,0.0,0.799,0.799,0.26633333333333337,0.3551111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,157.33333333333334,95.55555555555554,229.0,2.924458281489375,17.572230865512147,0.6053249133640622,225,cubic,1,True,48
Si,mp-149,endmember,14.0,14.0,0.0,14.0,0.0,14.0,78.0,78.0,0.0,78.0,0.0,78.0,28.0855,28.0855,0.0,28.0855,0.0,28.0855,1687.0,1687.0,0.0,1687.0,0.0,1687.0,14.0,14.0,0.0,14.0,0.0,14.0,3.0,3.0,0.0,3.0,0.0,3.0,111.0,111.0,0.0,111.0,0.0,111.0,1.9,1.9,0.0,1.9,0.0,1.9,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,20.44,20.44,0.0,20.44,0.0,20.44,0.773,0.773,0.0,0.773,0.0,0.773,0.0,0.0,0.0,0.0,0.0,0.0,227.0,227.0,0.0,227.0,0.0,227.0,2.3128002565764314,20.164763423707026,0.276486247094574,227,cubic,1,True,48
Sm,mp-69,endmember,62.0,62.0,0.0,62.0,0.0,62.0,23.0,23.0,0.0,23.0,0.0,23.0,150.36,150.36,0.0,150.36,0.0,150.36,1345.0,1345.0,0.0,1345.0,0.0,1345.0,3.0,3.0,0.0,3.0,0.0,3.0,6.0,6.0,0.0,6.0,0.0,6.0,198.0,198.0,0.0,198.0,0.0,198.0,1.17,1.17,0.0,1.17,0.0,1.17,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,8.0,8.0,0.0,8.0,0.0,8.0,33.23,33.23,0.0,33.23,0.0,33.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,166.0,0.0,166.0,0.0,166.0,7.3865179596065,33.80194237233158,0.7846249925001343,194,hexagonal,2,True,24
Sn,mp-573471,endmember,3.0,50.0,47.0,11.952380952380953,14.494331065759637,3.0,1.0,80.0,79.0,16.047619047619047,24.36281179138322,1.0,6.941,118.71,111.76899999999999,28.230333333333334,34.468444444444444,6.941,453.69,505.08,51.389999999999986,463.47857142857146,15.848163265306138,453.69,1.0,14.0,13.0,3.4761904761904763,4.00907029478458,1.0,2.0,5.0,3.0,2.5714285714285716,0.9251700680272111,2.0,128.0,139.0,11.0,130.0952380952381,3.3922902494331106,128.0,0.98,1.96,0.98,1.1666666666666667,0.3022222222222223,0.98,1.0,2.0,1.0,1.1904761904761905,0.30839002267573695,1.0,0.0,2.0,2.0,0.38095238095238093,0.6167800453514739,0.0,0.0,10.0,10.0,1.9047619047619047,3.0839002267573696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,3.4761904761904763,4.00907029478458,1.0,0.0,1.0,1.0,0.8095238095238095,0.30839002267573695,1.0,0.0,4.0,4.0,0.7619047619047619,1.2335600907029478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.5714285714285714,0.9251700680272108,1.0,16.5933333333,33.285,16.691666666699998,19.772698412671424,5.147543461839454,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,229.0,88.0,212.23809523809524,27.13832199546485,229.0,2.5895488526977197,18.102601686698755,0.705426256351315,216,cubic,1,False,48
Ta,mp-569794,endmember,73.0,73.0,0.0,73.0,0.0,73.0,48.0,48.0,0.0,48.0,0.0,48.0,180.94788,180.94788,0.0,180.94788,0.0,180.94788,3290.0,3290.0,0.0,3290.0,0.0,3290.0,5.0,5.0,0.0,5.0,0.0,5.0,6.0,6.0,0.0,6.0,0.0,6.0,170.0,170.0,0.0,170.0,0.0,170.0,1.5,1.5,0.0,1.5,0.0,1.5,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,14.0,14.0,0.0,14.0,0.0,14.0,19.0,19.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,18.12,18.12,0.0,18.12,0.0,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,16.260109686060726,18.47902812339772,0.6910563939181287,136,tetragonal,4,True,32
Ti,mp-72,endmember,22.0,22.0,0.0,22.0,0.0,22.0,43.0,43.0,0.0,43.0,0.0,43.0,47.867,47.867,0.0,47.867,0.0,47.867,1941.0,1941.0,0.0,1941.0,0.0,1941.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,160.0,160.0,0.0,160.0,0.0,160.0,1.54,1.54,0.0,1.54,0.0,1.54,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,16.69,16.69,0.0,16.69,0.0,16.69,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,0.0,2.25333333333e-05,0.0,2.25333333333e-05,194.0,194.0,0.0,194.0,0.0,194.0,4.670172253933062,17.01971989257013,0.6753366327110658,191,hexagonal,2,True,24
Tl,mp-7396,endmember,3.0,81.0,78.0,22.5,29.25,3.0,1.0,76.0,75.0,19.75,28.125,1.0,6.941,204.3833,197.4423,56.301575,74.0408625,6.941,453.69,577.0,123.31,484.5175,46.241249999999994,453.69,1.0,13.0,12.0,4.0,4.5,1.0,2.0,6.0,4.0,3.0,1.5,2.0,128.0,145.0,17.0,132.25,6.375,128.0,0.98,1.62,0.6400000000000001,1.1400000000000001,0.2400000000000001,0.98,1.0,2.0,1.0,1.25,0.375,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,14.0,14.0,3.5,5.25,0.0,1.0,27.0,26.0,7.5,9.75,1.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.5,1.0,16.5933333333,26.91,10.316666666700002,19.172499999975,3.8687500000125006,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,220.25,13.125,229.0,5.165667306999388,18.098526167674585,0.9260569480592745,225,cubic,1,True,48
V,mp-146,endmember,23.0,23.0,0.0,23.0,0.0,23.0,46.0,46.0,0.0,46.0,0.0,46.0,50.9415,50.9415,0.0,50.9415,0.0,50.9415,2183.0,2183.0,0.0,2183.0,0.0,2183.0,5.0,5.0,0.0,5.0,0.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,153.0,153.0,0.0,153.0,0.0,153.0,1.63,1.63,0.0,1.63,0.0,1.63,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,13.01,13.01,0.0,13.01,0.0,13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,6.37754471203338,13.263780153478194,0.7770028288201649,229,cubic,1,True,48
